Date,ICICIPru_Dynamic_Plan,ICICIPru_Export_And_Services,Tata_Ethical_Fund,Principal_Growth_Fund,Birla_Equity_Fund,Birla_India_GenNext_Fund,HSBC_India_Opp_Fund,Reliance_Equity_Opp_Fund,SBI_Magnum_Multipler_Plus,Birla_Advantage_Fund,DSPBR_Opp_Fund,DWS_Inv_Opp_Fund,Franklin_India_FlexiCap,HDFC_Capital_Builder_Fund,Franklin_India_PrimaPlus,HDFC_Equity,SBI_Magnum_Multicap,Tata_Dividend_Yield,Taurus_Starshare,Tata_Equity_Opp_Fund,UTI_Service_Industries,Tata_Equity_PE,Birla_Dividend_Yield_Plus,HDFC_Premier_Multicap,Reliance_Growth_Fund,Reliance_Regular_Savings_Equity,HDFC_Core_Satellite_Fund,Reliance_Vision_Fund,HDFC_Growth_Fund,Franklin_India_Growth_Fund
02-09-2011,97.2831,15.5600,62.7733,44.6900,229.9500,24.5800,32.7972,33.6750,74.2200,143.0800,79.3920,33.0900,29.5678,101.9890,208.6988,250.6540,15.4400,31.7245,53.9100,74.0878,51.2400,42.9852,81.8000,27.0770,407.3855,27.0736,36.0610,243.8764,79.6050,104.7267
03-10-2011,93.8007,15.2000,60.6423,43.0300,222.1800,23.1500,31.9244,32.8997,71.3400,135.3700,76.6850,31.7100,28.7946,98.4010,204.1252,241.6090,14.6500,30.8674,51.7000,72.2007,49.9500,41.4624,80.0100,26.3600,401.2151,25.9539,35.3710,235.3229,78.2970,98.5778
01-11-2011,100.4925,16.0800,62.8656,45.2300,233.9400,24.5700,33.3698,34.5066,74.9600,141.9600,80.0860,33.3700,30.6593,102.1390,216.5683,253.7250,15.6800,32.7779,54.8600,75.4842,53.4800,44.0310,82.3900,27.0240,424.3036,27.3000,36.4080,245.1393,82.7860,104.5841
01-12-2011,95.7578,15.1700,60.5050,43.1500,218.4100,23.3900,31.9863,32.2995,70.0000,133.8800,75.1450,31.3900,28.7814,95.8780,204.2923,235.8520,14.6100,31.0082,51.7800,71.2454,50.1500,41.4210,78.2200,25.4750,391.3905,25.4164,34.2410,222.4283,77.9310,99.5180
02-01-2012,89.5059,14.1300,58.1688,39.5600,203.1600,21.6500,30.3709,30.0690,66.1900,124.5100,69.7670,29.3200,27.0146,90.9440,192.3978,219.4120,13.5000,29.2235,48.3900,65.9462,47.0400,38.7698,72.7600,23.9070,364.4140,23.2741,32.4210,208.5332,73.6020,91.4657
01-02-2012,102.3430,16.4000,62.4203,45.4200,229.6400,23.6400,33.3076,34.2811,73.4200,141.2500,77.4090,32.4900,30.4509,99.7220,211.3556,250.9510,15.3600,32.3005,52.9100,74.0902,53.9500,44.0180,80.4700,25.9690,418.0086,26.7906,35.4650,244.0925,82.7940,108.9670
01-03-2012,106.1758,16.8300,65.4840,47.6400,235.4300,24.2800,34.3210,35.9407,76.7300,143.3800,78.9810,32.5700,31.1775,104.8540,219.1287,262.2080,16.0700,34.1167,53.4500,77.4643,56.3300,46.9998,85.0100,27.4190,431.2621,27.7340,36.8870,252.2114,85.6080,112.4616
02-04-2012,106.4494,16.7700,66.4436,48.1900,237.5100,25.2600,34.5440,36.7322,78.5400,142.6000,78.3460,32.8500,31.1387,105.4970,221.6714,263.2920,16.5800,34.5908,53.7200,79.3619,56.6500,46.6549,86.2800,27.7690,436.7868,27.9422,37.0330,254.5165,85.5120,110.8995
02-05-2012,104.2424,16.3000,62.8868,47.9800,233.6500,25.8300,34.3664,37.2423,76.8500,140.0700,76.0290,32.4400,30.4886,104.3940,216.9311,258.5310,16.3100,33.7346,52.8500,77.5074,55.6100,44.6296,84.4700,26.5910,433.6621,27.7735,36.1720,250.5050,83.3560,107.8529
01-06-2012,99.0499,15.2100,59.8480,44.5200,216.9400,24.1100,32.2268,35.0034,72.2200,128.2300,70.9090,29.7800,28.2591,97.8350,203.3354,239.4370,15.1200,31.8440,49.4300,73.2508,52.3600,41.4018,78.3000,24.9270,398.6407,25.6757,33.3300,231.2938,78.4620,99.3888
